Кандзи;Чтение;Перевод;Примеры слов;Мнемоническая подсказка
雪;ゆき, せつ;снег;雪 (ゆки - снег) 降雪 (こうせつ - снегопад);СНЕГ — это по сути замороженный, пушистый дождь (雨), который накапливается слоями.
雲;くも, うん;облако;雲 (くмо - облако) 星雲 (せいうん - туманность);Я сам говорю, что одно ОБЛАКО — хорошо, но два (二) ОБЛАКА могут принести дождь (雨).
雷;かみなり, らい;гром, молния;雷 (かみнари - гром, молния) 雷雨 (らいう - гроза);Когда дождь (雨) падает на рисовые поля (田), ГРОМ гремит и МОЛНИЯ сверкает.
春;はる, しゅん;весна;春 (はる - весна) 来春 (らいしゅん - следующая весна);Через три месяца года приходит ВЕСНА, и растения расцветают под длинным солнечным светом.
夏;なつ, か;лето;夏 (なつ - лето) 夏休み (なつやすみ - летние каникулы) 夏季講習 (かきこうしゅう - летняя школа);Желая, чтобы ЛЕТО длилось больше ста (百) дней, мы сидели на складном столе во дворе.
秋;あき, しゅう;осень;秋 (あき - осень) 秋気 (しゅうき - осенний воздух);Осенью цвета изысканных деревьев (禾) похожи на огонь (火).
冬;ふゆ, とう;зима;冬 (ふゆ - зима) 冬眠 (とうみん - спячка);Иногда ледяная ЗИМА кажется бесконечной, пока снежинки накапливаются под складным столом.
猫;ねこ, びょう;кошка;猫 (ねこ - кошка) 招き猫 (まねきねこ - манящая [счастливая] кошка) 愛猫家 (あいびょうか - любитель кошек);Пушистый хвост КОШКИ просто там, в траве у поля (田).
牛;うし, ぎゅう;корова;牛 (уши - корова) 牛乳 (ぎゅうにゅう - молоко);Этот профиль КОРОВЫ включает вид её головы и рогов, повёрнутых в сторону.
牧;ぼく;ухаживать, пасти;牧師 (ぼくし - пастор, священник) 牧場 (ぼくじょう - ферма [животноводческая], ранчо);Коров Кобе (牛) УХАЖИВАЮТ и кормят, как будто они едят за пикниковыми столами.
特;とく;особый;特に (に - особенно) 特別 (とくべつ - особый);Коровы (牛) ОСОБЫЕ в индуистских храмах (寺).
物;もの, ぶつ;вещь, объект;物 (もの - вещь) 動物 (どうぶつ - животное) 食べ物 (たべもの - еда);Это не корова, но точно пушистая ВЕЩЬ.
豚;ぶた, とん;свинина, свинья;豚肉 (ぶたにく - свинина) 豚カツ (とんかつ - свиная котлета);При лунном свете (月) СВИНЬЯ висит на крюке, хвост закручен, четыре ноги растопырены, тело свисает вниз.
象;しょう, ぞう;слон, форма;印象 (いんしょう - впечатление) 象 (ぞう - слон);Видны длинные изогнутые бивни этого СЛОНА, его ноги и хвост.
農;のう;сельское хозяйство, фермер;農場 (のうじょう - ферма [сельскохозяйственная]) 農業 (のうぎょう - сельское хозяйство);В СЕЛЬСКОМ ХОЗЯЙСТВЕ тракторы ФЕРМЕРОВ изгибаются (曲) вокруг столов у оснований утёсов (厂) дважды (二).
像;ぞう;статуя, изображение;仏像 (ぶつぞう - буддийская статуя) 画像 (がぞう - картинка);Человек рядом со слоном (象) стоит неподвижно как СТАТУЯ, чтобы сделать его ФОТОГРАФИЮ.
馬;うま, ば;лошадь;馬 (ума - лошадь) 馬車 (ばしゃ - повозка, запряжённая лошадью) 馬鹿者 (ばかもの - глупый человек, идиот);У ЛОШАДИ большая уздечка на голове, четыре ноги и длинный хвост.
駅;えき;станция;東京駅 (とうきょうえき - Токийский вокзал) 駅弁 (えきべん - [местный] бенто, купленный на станции);Лошади (馬) привозили людей на СТАНЦИЮ, где открытый рот (口) объявлял время до следующего отправления.
験;けん;проверка, эффект, тест;経験 (けいけん - опыт) 試験 (しけん - экзамен, тест);Чистокровная лошадь (馬) проходит ТЕСТЫ двумя людьми, которые обсуждают результаты.
羊;ひつじ, よう;овца;羊 (ひつудзи - овца) 羊毛 (ようもう - шерсть);У этой ОВЦЫ три (三) основные части: два больших уха, хвост и ноги.
美;うつく(しい), び;красота, красивый;美しい (уцукусии - красивый) 美人 (びじん - красивая женщина) 美術 (びじゅつ - искусство);Давно мужчина с большой (大) КРАСИВОЙ овцой (羊) считался удачливым.
僕;ぼく;я, мне (мужской);僕 (боку - я, мне [мужской]);Мальчик-акробат сказал: «Смотрите, как Я перекувырнусь через это дерево (木)».
幸;さいわ(い), しあわ(せ), こう;счастье, благословение, удача;幸せ (しあわせ - счастье, удача) 不幸 (ふこう - несчастье) 幸い (さいわい - к счастью);Когда маленькая овца (羊) видит плодородную почву (土) с пышной травой, её СЧАСТЬЕ от удачи видно.
様;さま, よう;манера, вежливый суффикс;お客様 (おきゃくさま - вежливый способ обращения к клиенту) 様々 (さまざま - различные) 様に (ように - чтобы);Есть МАНЕРА, в которой нужно держать овец (羊): с деревьями (木) для тени и водой (水) поблизости.
議;ぎ;обсуждение, совещание;会議 (かいぎ - встреча, конференция) 議長 (ぎちょう - председатель [собрания и т.д.]);Во время ОБСУЖДЕНИЯ они сказали (言), что овец (羊) нужно стричь ручными (扌) инструментами, похожими на алебарды (戈).
遅;おそ(い), ち;медленный, поздний;遅い (осои - медленный, поздний) 遅刻 (ちこく - опоздание);Медленная овца (羊) неспешно проходит через ворота по пути домой с ПОЗДНЕГО вечера выпаса.
犬;いぬ, けん;собака;犬 (ину - собака) 野犬 (やけん - бродячая собака);Большая СОБАКА вот-вот съест кость.
熊;くま;медведь;熊 (кума - медведь) 熊本県 (くまもとけん - префектура Кумамото);Если бы я сам увидел МЕДВЕДЯ при мерцающем лунном свете (月), его лапы могли бы выглядеть как большие ложки.
状;じょう;статус-кво, условия, обстоятельства;状態 (じょうたい - текущее состояние) 状況 (じょうきょう - состояние дел [вокруг вас]);ОБСТОЯТЕЛЬСТВА казались хорошими для собаки (犬), чтобы поймать кость.
能;のう;способность, талант;可能 (かのう - вероятность, возможность) 才能 (さいのう - талант, способность);Когда я сам месяцами (月) мешаю суп своего ТАЛАНТА и СПОСОБНОСТИ черпак за черпаком, улучшение видно.
毛;け, もう;мех, волосы;髪の毛 (かみのけ - волосы) 毛布 (もうふ - одеяло);Эта ВОЛОСАТАЯ вещь с лохматым МЕХОМ.
狐;きつね;лиса;狐 (кицунэ - лиса) 銀狐 (ぎんぎつね - серебристая лиса);Легко узнать длинные волосы хвоста ЛИСЫ, но я сам видел только её трёхпалые лапы и когти (爪).
犯;おか(す), はん;преступление, грех;犯す (окасу - совершать [преступление]) 犯人 (はんにん - преступник) 犯罪 (はんざい - преступление);Длинные волосы найдены на месте ПРЕСТУПЛЕНИЯ после того, как полиция обошла всё кругом в поисках улик.
狸;たぬき;тануки, японский енотовидная собака;狸 (тануки - тануки) 狸そば (たぬきそば - соба с темпура-крошками);Длинные волосы хвоста ТАНУКИ уходят в его нору в земле (土) прямо у поля (田).
独;ひと(り), どく;одинокий, спонтанно;独身 (どくしん - одинокий, неженатый) 孤独 (こどく - одиночество);По волосам хвоста насекомое живёт, СПОНТАННО приветствуя каждый ОДИНОКИЙ день с энтузиазмом.
鳥;とり, ちょう;птица;鳥 (тори - птица) 鳥居 (тории - ворота синтоистского святилища) 白鳥 (はくちょう - лебедь);Эта ПТИЦА имеет маленькое перышко на голове и грациозно свисающее хвостовое перо.
鳴;な(く);щебетать, кричать;鳴く (наку - щебетать);Клюв птицы ЩЕБЕЧЕТ как рот (口).
雑;ざつ, ぞう;смешанный, разнообразный;雑誌 (ざっし - журнал) 複雑 (ふくざつ - сложный) お雑煮 (おぞうに - новогодний суп);Старой птице (隹) трудно решить, где сесть среди девяти (九) РАЗНООБРАЗНЫХ деревьев (木).
集;あつ(まる), しゅう;собираться, стадо;集まる (ацумару - собираться) 群集 (ぐんしゅу - группа [живых существ], толпа);СТАДО старых птиц (隹) СОБИРАЕТСЯ в дереве (木).
難;かた(i), むずか(しい), なん;трудный, невозможный;難しい (музукасии - трудный) 苦難 (кунан - страдание, бедствие) 許し難い (ゆるしがたい - трудно простить);Большая старая птица (隹) тычет клювом в траву за ртом (口) червей, но они ТРУДНЫЕ для поиска, и достаётся только один (一) большой (大).
羽;はね, わ;перо, счётчик для птиц;羽田空港 (はねだくうこう - аэропорт Ханеда) 三羽 (さんば - три птицы) 羽 (хане - перо);Каждое из этих двух ПЕРЬЕВ крыла разделено.
魚;さかな, ぎょ;рыба;魚 (сакана - рыба) 金魚 (きんぎょ - золотая рыбка);РЫБА выпрыгивает из воды в поле (田).
習;なら(う), しゅう;учить;習う (нарау - учить) 自習 (じしゅу - самостоятельное обучение);Два пера с крыльев (羽) белой (白) птицы остаются, пока она УЧИТСЯ летать.
酉;とり;запад, знак зодиака петуха;酉年 (とりどし - год петуха);В этой бутылке сакэ с ЗАПАДА.
漁;あさ(る), りょう;рыбалка;漁る (асару - искать, ловить рыбу) 漁師 (りょうし - рыбак);Можно заниматься РЫБАЛКОЙ за рыбой (魚) в воде.
貞;てい;праведный, последовательный;貞操 (тейсоу - целомудрие, добродетель) 貞烈 (тейрецу - крайняя верность);Гадалка (ト) предсказывала ПОСЛЕДОВАТЕЛЬНО, где найти ПРАВЕДНЫЕ ракушки (貝).
負;ま(ける), お(う), ふ;поражение, отрицательный, нести;負ける (макеру - проиграть, потерпеть поражение) 負う (оу - нести) 負傷 (фушоу - рана);Ракушка (貝) потерпит ПОРАЖЕНИЕ, когда острый предмет раскроет её.
貝;かい;моллюск, раковина;貝 (каи - моллюск) 巻き貝 (макигай - спиральная раковина);МОЛЛЮСК выглядит как подмигивающий глаз (目).
貯;た(める), ちょ;сбережения, хранить;貯める (тамеру - копить) 貯蓄 (ちょちく - сбережения);ХРАНИТЕ СБЕРЕЖЕНИЯ из моллюсков (貝) в здании с крышей и дымоходом.
貨;か;груз, товары, имущество;貨物 (камоцу - груз) 外貨建て (がいかだて - курс в иностранной валюте);Люди (人) черпали ТОВАРЫ или ИМУЩЕСТВО и платили ракушками моллюсков (貝) в древней Японии.
費;つい(やす), ひ;стоимость;費やす (цуиясу - тратить) 会費 (かいひ - взнос на встречу);Графики показывают, что СТОИМОСТЬ товаров в прошлом могла оплачиваться ракушками моллюсков (貝).
買;か(う), ばい;покупать;買う (кау - покупать) 売買 (ばибай - торговля, купля-продажа);Полки полностью забиты моллюсками (貝) для ПОКУПКИ.
賞;しょう;приз, награда;一等賞 (иттоушоу - приз первого места) 賞品 (шоухин - приз, трофей);Человек, обученный правильным знаниям о лёгком открытии моллюсков (貝), легко выиграл самый большой ПРИЗ в соревновании.
質;しつ;вещество, качество;品質 (ひんшицу - [материальное] качество) 質問 (しつмон - вопрос) 質屋 (しちや - ломбард);Как ВОПРОС КАЧЕСТВА, два работника проверяют жемчуг в моллюсках (貝), собранных маленькими топорами (斤).
員;いん;сотрудник, член;店員 (тенъин - сотрудник магазина) 会社員 (かいしゃин - сотрудник компании);Сотрудник супермаркета (員) заполняет пустые полки моллюсками (貝), которые клиенты могут купить для голодных ртов (口).
慣;な(れる), かん;привыкать, становиться опытным;慣れる (нареру - привыкать) 習慣 (шуукан - обычай, манеры);Когда ПРИВЫКАЕШЬ к чему-то, немного берёшь это к сердцу (忄), и как научиться есть моллюсков (貝), СТАНОВИШЬСЯ ОПЫТНЫМ каждый (毎) раз.
測;はか(る), そく;планировать, измерять;測る (хакару - проверять чей-то рост) 実測 (じっсоку - обследование, фактические измерения);ПЛАН пикника — найти моллюсков (貝) в воде, открыть ножом и съесть свежими.
虫;むし, ちゅう;насекомое;昆虫 (кончуу - насекомое) 虫歯 (むしば - кариес);НАСЕКОМЫХ можно найти внутри (中) каждой экосистемы, часто с сегментированными ногами.
蚕;かいこ, さん;шелковичный червь;蚕糸 (さんши - шёлковая нить);Самое небесное (天) НАСЕКОМОЕ в Азии — ШЕЛКОВИЧНЫЙ ЧЕРВЬ.
風;かぜ, ふう;ветер, стиль;和風 (вафуу - японский стиль) 風 (казе - ветер);Стены дома насекомого (虫) гнутся на ВЕТРУ.
肉;にく;мясо;牛肉 (гюунику - говядина) 肉団子 (никуданго - фрикадельки) 皮肉 (хинику - цинизм, сарказм);Двойной набор рёбер виден в туше МЯСА, висящей на продажу на рынке.
爪;つめ, そう;коготь;爪を研ぐ (цуме о тогу - точить когти) 爪牙 (соуга - когти и клыки);Три КОГТЯ видимы на этом когте.
串;くし;шашлык, шампур;串 (куши - шампур) 竹串 (такэгуши - бамбуковый шампур);Аппетитный ШАШЛЫК с кусочками мяса и овощей.
皮;かわ, ひ;кожа, шкура;皮膚 (хифу - кожа) 皮肉 (хинику - сарказм) 皮 (кава - кожа [фрукта, овоща]);Под утёсом (厂) стол накрыт с вывеской на столбе сверху, сообщающей о распродаже свежих овощей в их КОЖУРЕ.
世;せい, せ, よ;поколение, мир, общество;世界 (せかい - мир, общество) この世 (このよ - этот мир, нынешняя жизнь) 世話 (せわ - помощь, уход);Линии эхом расходятся, чтобы ПОКОЛЕНИЯ могли видеть МИР из космоса.
旭;きょく;восходящее солнце, утреннее солнце;旭日旗 (きょくじつき - флаг восходящего солнца);К девяти (九) часам ВОСХОДЯЩЕЕ СОЛНЦЕ означало, что пора вставать.
旦;たん, だん;рассвет, утро;旦那 (だんな - хозяин [дома], муж [неформ.]) 元旦 (がんたん - [утро] Нового года);Солнце (日) только над горизонтом на РАССВЕТЕ.
昔;むかし, せき;когда-то давно, старые времена;昔々 (むかしむかし - давным-давно) 昔日 (せきじつ - старые дни);ДАВНЫМ-ДАВНО, десятки (十) лет назад, в один (一) день (日) старая пара вспоминала СТАРЫЕ ВРЕМЕНА.
早;はや(い), そう;рано;早い (はやい - ранний) 早急 (そうきゅう - срочный);Для молодых людей видеть солнце (日) до десяти (十) часов может быть РАНО.
昨;さく;вчера, предыдущий;昨日 (さくじつ - вчера) 昨年 (さくねん - прошлый год);Эти полки сделали (作) на один день (日) раньше, ВЧЕРА.
昭;しょう;сияющий, яркий;昭和 (しょうわ - эра Сёва [1926–89]);Эра Сёва в Японии была как ЯРКИЙ день (日), когда мечи (刀) отложили в пользу разговоров.
明;あ(く), あか(るい), めい, みょう;яркий, свет;明るい (あかるい - яркий) 説明 (せつめい - объяснение) 証明書 (しょうめいしょ - сертификат, удостоверение);Когда солнце отражается от луны, ночи САМЫЕ ЯРКИЕ.
暑;あつ(い), しょ;жаркий;暑い (ацуи - жаркий) 暑中見舞い (しょちゅうみまい - летняя поздравительная открытка);Отражение ЖАРКОГО солнца прорезает почву (土) как самурайский клинок.
晴;は(れる), せい;проясняться;晴れ (харе - ясная погода) 晴れる (хареру - проясняться [погода]) 晴天 (せいてん - хорошая погода);Солнечный (日) день с ЯСНЫМ голубым (青) небом.
映;うつ(る), えい;отражаться, отражение;映画 (えいが - кино, фильм) 映る (уцуру - отражаться);Человек держит коробку с камерой-обскурой неподвижно, чтобы снять ОТРАЖЕНИЕ солнца.
暖;あたた(かい), だん;тепло;暖かい (ататакаи - тёплый) 暖房 (だんぼう - обогреватель);С ТЕПЛОМ воздуха в тот день (日) один (一) из моих друзей (友) начал сильно потеть.
晦;かい, つごもり;тёмный, исчезать;晦渋 (かいじゅう - скрытые [таланты и т.д.]) 大晦日 (おおつごもり - последний день года);Солнце (日) ИСЧЕЗАЕТ каждый (毎) календарный день, и ТЁМНЫЕ небеса наступают.
暗;くら(い), あん;тёмный;暗い (кураи - тёмный) 暗号 (あんごу - секретный код);Стоя (立) между двумя солнцами (日), казалось бы ТЁМНО, потому что свет ослеплял бы.
星;ほし, せい;звезда;星 (хоши - звезда) 火星 (かせい - Марс);Когда ЗВЕЗДА рождается (生), новое солнце (日) ярко горит.
昧;まい;тёмный, глупый;曖昧 (あいまい - неясный, неоднозначный);Даже днём (日) ТЁМНО под деревом с лишними ветвями, хотя летом это может показаться ГЛУПЫМ.
昏;こん;тёмный, вечер;黄昏 (こうこん - сумерки);Слои облаков в небе в ТЁМНОТЕ ВЕЧЕРА надвигались, хотя солнце (日) ещё не зашло.
旺;おう;процветающий, успешный;旺盛 (おうせい - полный энергии) 旺然 (おうぜん - процветающий);Царствование короля (王) было ПРОЦВЕТАЮЩИМ, и каждый день (日) был более УСПЕШНЫМ, чем предыдущий.
晶;しょう;блеск, кристалл;水晶 (すいしょう - кристалл) 晶 (шоу - кристалл);Хороший КРИСТАЛЛ будет БЛЕСТЕТЬ как три солнца (日).
昌;まさ, しょう;процветающий, яркий;昌平 (しょうへい - спокойствие) 昌弘 (まさひろ - мужское имя Масахиро);Когда каждый день (日) всё больше солнца, небо ЯРКОЕ, и фермеры ПРОЦВЕТАЮТ.
是;これ, ぜ;именно так, этот;是 (これ - это [в хирагане]) 是非とも (ぜひとも - во что бы то ни стало);ЭТО изображение солнца (日) сидит ИМЕННО ТАК на подносе, который несут на ногах (足).
普;ふ;универсальный, широко;普通 (ふつう - обычный) 普段 (ふだん - обычно, повседневно);Бегуны в целом были ГОТОВЫ к жаре солнца (日) в день гонки.
易;やさ(しい), えき;лёгкий, простой;食べやすい (たべやすい - легко есть) 貿易 (ぼうえки - [внешняя] торговля);ПРОСТОЙ ежедневный (日) уход за некоторыми пушистыми вещами (物) не всегда ЛЁГКИЙ.
旧;きゅう;старые вещи, старый друг;旧友 (きゅうゆу - старый друг) 旧約 (きゅうяку - [иностранная] торговля);Подумайте об одном дне (日) со СТАРЫМ ДРУГОМ.
景;けい;пейзаж, вид;景気 (けいき - экономическое состояние) 景色 (けしき - пейзаж);ВИД ПЕЙЗАЖА в ясный день (日) в столице (京) был невероятным.
暫;しばら(く), ざん;временно, на некоторое время;暫く (сибараку - на некоторое время) 暫定 (ざんтей - временный);Повозка (車) была ВРЕМЕННО остановлена дровосеком с топором (斤) в один день (日).
甘;あま(い), かん;сладкий;甘い (амаи - сладкий) 甘える (амаеру - вести себя как избалованный ребёнок);В жаре солнца (日) бутоны цветов пахнут СЛАДКО для пчёл, и САХАРНЫЕ ягоды начинают созревать.
香;か, かお(り), こう;аромат, запах;香り (каори - аромат) 香水 (こうすい - духи) 香川県 (かがわけん - префектура Кагава);Изысканное дерево (禾) имеет сильный ЗАПАХ в жаре солнца (日).
最;もっと(も), さい;наивысший, самый;最近 (さいきん - недавно) 最も (моттомо - самый, крайне);Случай КРАЙНЕГО солнечного ожога произошёл, когда она лежала на пикниковом столе под солнцем (日), и даже уши обгорели (耳).
厚;あつ(い);толстый, добрый;厚い (ацуи - толстый, тяжёлый) 厚切り (あつぎり - толстые ломтики);ТОЛСТАЯ тень утёса (厂) давала укрытие в середине дня (日) детям (子), и они благодарили за ДОБРОТУ тени.
暴;あば(れる), ぼう;вспышка, буйствовать;乱暴 (らんぼу - грубый, насильственный) 暴れる (абареру - буйствовать);В день (日), когда мы были вместе (共), была ВСПЫШКА шума, когда вода (水) пролилась, и друг начал БУЙСТВОВАТЬ.
日;ひ, にち;день, солнце;日本 (にほん - Япония) その日 (сонохи - тот день) 日曜日 (にちようび - воскресенье);Изначально круг с точкой, СОЛНЦЕ вскоре изображалось как окно, через которое виден новый ДЕНЬ.
昼;ひる, ちゅう;дневное время, полдень;昼 (хиру - полдень) 昼食 (ちゅушоку - обед);Солнце (日) прошло через дверь в ПОЛДЕНЬ.
晩;ばん;ночь, вечер;今晩 (こんбан - этот вечер) 一晩 (ひとばん - одна ночь);Время дня (日), когда старший брат (兄) должен тщательно рассмотреть свои будущие возможности — НОЧЬЮ, когда готов вырывать волосы.
曜;よう;день недели;木曜日 (もくようび - четверг);Солнце (日) освещает перья старой птицы (隹), когда она трясётся утром, чтобы начать новый ДЕНЬ НЕДЕЛИ.
週;しゅう;неделя;今週 (こんしゅу - эта неделя);Требуется НЕДЕЛЯ, чтобы обойти почву (土) поля и посадить еду для голодных ртов.
時;とき, ~どき, じ;время, час;二時 (にじ - два часа) 時々 (токидоки - иногда);ВРЕМЯ определялось по всему дню (日), когда звонил колокол храма (寺) в ЧАС.
毎;まい;каждый;毎日 (маиничи - каждый день) 毎回 (майкаи - каждый раз);Человек смотрит на свой календарь КАЖДЫЙ день.
毒;どく;яд, микроб;お気の毒に (おきのどくни - мои соболезнования) 有毒 (ゆうдоку - ядовитый);Почва (土), которой дали один (一) лишний химикат, не по календарю, может стать ЯДОМ или содержать МИКРОБЫ.
年;とし, ねん;год;年 (тоши - год, возраст) 一年生 (いちねんせい - первокурсник);КАЖДЫЙ ГОД я получаю торт на день рождения, где много частей представляют последние двенадцать месяцев.
午;うま, ご;полдень, знак зодиака лошади;午年 (умадоши - год лошади) 午後 (гого - послеполуденное время);Два удара маленькой стрелки выше десяти (十) — ПОЛДЕНЬ.
月;つき, げつ, ~がつ;месяц, луна;先月 (せんげつ - прошлый месяц) 一月 (いちがつ - январь) 月 (つき - луна);Легко увидеть серп ЛУНЫ с частью глаза (目) видимой.
有;あ(る), ゆう;обладать, иметь, существовать;有名 (ゆうめい - знаменитый);ИМЕТЬ признание имени и ОБЛАДАТЬ славой — как звезда, прыгающая через луну (月).
朝;あさ, ちょう;утро, династия;朝 (аса - утро) 朝食 (ちょうしょく - завтрак);Солнце (日) встаёт УТРОМ к 10:10 (十十), хотя луна (月) ещё может быть на небе.
服;ふく;одежда;洋服 (ようふく - западная одежда) 制服 (せいふく - униформа);ОДЕЖДА месяца (月) висела на большом крюке, потом складывалась на столе.
育;そだ(つ), いく;воспитывать, растить;教育 (きょういく - образование) 育つ (содатсу - расти, воспитываться);Я сам был ВОСПИТАН за много лун (月), ВЫРАЩЕН под одной крышей.
夜;よ, よる, や;ночь, вечер;夜 (ёру - вечер) 今夜 (こんや - этот вечер) 夜中 (よなか - полночь);Человек дома НОЧЬЮ с крышей над головой, сидит за складным столом.
夕;ゆう;вечер;夕食 (ゆうしょく - ужин);Также катакана タ, это как луна (月), частично скрытая облаком ВЕЧЕРОМ.
外;そと, がい;снаружи;外 (сото - снаружи) 外国人 (がいこくじん - иностранец);ВЕЧЕРОМ (夕) можно выйти ЗА ПРЕДЕЛЫ рутины и искать гадалку (ト).
多;おお(い), た;много, часто;多い (оои - многочисленный) 多く (ооку - много) 多分 (табун - вероятно);МНОГО ВЕЧЕРОВ (夕) приятно ЧАСТО посещать кафе.
静;しず(か), せい;тихий;静か (шизука - тихий) 冷静 (れいせい - спокойный);Растение пускает вторую пару ветвей в синюю (青) луну (月), и всё ТИХО, пока мужчина в эполетах проходит мимо.
祭;まつ(り), さい;праздновать, поклоняться;お祭り (омацури - фестиваль) 祭日 (さいじつ - национальный праздник);ВЕЧЕРОМ мы ПРАЗДНУЕМ фестиваль, поднимая стол над знаком (示).
期;き;период, срок;時期 (じき - время, сезон) 学期 (がっき - семестр);Хотя бы один месяц (月) ВРЕМЕНИ — средний ПЕРИОД для развития бутонов и маленьких ягод в горшках с периодами длинного солнца (日).
用;もち(いる), よう;использовать, дело;食用油 (しょくようあぶра - масло для готовки) 用意 (ようい - подготовка) 用いる (мочииру - использовать);Чтобы ИСПОЛЬЗОВАТЬ вещи эффективно, раздели луну (月) пополам для лучшего ДЕЛОВОГО плана.
痛;いた(い), つう;боль, ранить;痛い (итаи - болезненный) 頭痛 (ずつう - головная боль);Шипы по боку пунктирного утёса (广) могут РАНИТЬ, и я сам ИСПОЛЬЗУЮ (用) аптечку первой помощи.
望;のぞ(む), ぼう;надежда;望む (нозому - желать) 失望 (しつぼう - разочарование);НАДЕЮСЬ починить или заменить сломанный контейнер к следующей полной луне (月), прежде чем король (王) заметит.
火;ひ, か;огонь;火 (хи - огонь) 火曜日 (かようび - вторник);Два бревна, прислонённые друг к другу, создают искры ОГНЯ.
灯;ひ, とう;лампа, свет;電灯 (でんとう - электрический свет) 灯を点ける (хи о цукеру - включать свет);Как искра огня (火), фонарный столб был очень ярким СВЕТОМ.
炭;すみ, たん;уголь;炭 (суми - древесный уголь) 石炭 (せきたん - каменный уголь);У основания горы (山), у утёса (厂) мы использовали УГОЛЬ для гриля бургеров.
災;わざわい, さい;бедствие;災害 (さいгай - бедствие) 災い (вазаваи - бедствие);Это БЕДСТВИЕ, когда ветер раздувает огонь (火).
熟;う(れる), じゅく;созревать, овладевать навыком;熟れ (уре - спелость) 熟読 (じゅくдоку - внимательное чтение);Если планка высоко над ртами (口) детей (子), они много учатся и становятся всесторонними (丸), ОВЛАДЕВАЯ НАВЫКОМ как на огне.
燃;も(える), ねん;гореть, пылать;燃える (моеру - гореть) 燃料 (ねんりょう - топливо);Собака (犬) сидела у ОГНЯ, ГОРЕВШЕГО каждый вечер (夕).
熱;あつ(い), ねつ;жар, температура, лихорадка;"熱 (нецу - лихорадка) 熱い (ацуи - горячий; страстный)";У меня предыдущее (先) воспоминание о костре (丸) на земле бабушки и дедушки (土), с ЖАРОМ костра и ЛИХОРАДКОЙ танцев и песен.
為;ため, な(る), い;делать, изменять, польза;の為に (но тамэ ни - ради) 行為 (こうい - действие) 為る (нару - становиться);Когда птица (鳥) с когтями тянется ЗАХВАТИТЬ вас, вы знаете, что нужно ИЗМЕНИТЬ и ДЕЛАТЬ по-другому.
点;てん;отметка, точка, десятичная;満点 (まんтен - идеальный балл) 九点 (くてん - девять баллов);Когда удача (占) и вы в огне, ДЕСЯТИЧНЫЕ ТОЧКИ на месте, и вы набираете все возможные БАЛЛЫ на тесте.
然;しか(し), ぜん;такого рода, так, ну;当然 (とうぜん - естественно) 自然 (しぜん - природа) 然し (шикаши - однако);ВЕЧЕРОМ (夕) собаки (犬) — ЭДАКОГО РОДА вещи с четырьмя ногами, которые спят у ног кровати и обеспечивают, чтобы всё было ХОРОШО.
照;て(る), しょう;освещать, сиять;参考 (さんこう - справочник) 照らす (терасy - освещать);В день (日), когда солнце СИЯЕТ, оно может резать как нож (刀), и вы скажете, что жарко как в аду.
無;な(い), む, ぶ;ничто, отсутствие;無くなる (накунару - теряться) 無料 (むりょう - бесплатно) 無事 (ぶじ - безопасно);Никто не лежит на гвоздях над пламенем, и НИЧЕГО не происходит.
金;かね, きん;золото;お金 (окане - деньги) 金曜日 (きんようび - пятница);Король (王) пришёл приветствовать народ в куче блестящего ЗОЛОТА и драгоценностей.
鉄;てつ;железо;地下鉄 (ちかてつ - метро) 鉄 (тецу - железо);Золото короля (金) не было достаточно прочным, поэтому лучник использовал стрелы с ЖЕЛЕЗНЫМИ наконечниками.
銀;ぎん;серебро;銀行 (ぎんこう - банк) 銀 (гин - серебро);СЕРЕБРО почти так же хорошо (良), как золото короля (金).
鏡;かがみ, きょう;зеркало;鏡 (кагами - зеркало) 双眼鏡 (そうがんきょう - бинокль);Король (王) стоял (立) перед ЗЕРКАЛОМ, чтобы посмотреть на своё золото (金).
録;ろく;запись;記録 (きろく - запись, протокол) 録音 (рокуон - аудиозапись);ЗАПИСЬ о золоте короля (金) говорила, что оно слоями глубокое и течёт как вода (水).
当;あ(たる), とう;попадать, правильный;本当 (ほんとう - правда, реальность);Чтобы ПОПАСТЬ в правильную отметку и разбить стопку досок, сосредоточьтесь хорошо.
水;みず, すい;вода;水 (みず - вода) 水曜日 (すいようび - среда);Пальцы хватают поток ВОДЫ, текущий из крана.
氷;こおり, こ(おる), ひょう;лёд, замораживать;氷 (коори - лёд) かき氷 (かきгоори - строганый лёд) 氷山 (ひょうざん - айсберг);Когда вода (水) ЗАМЕРЗАЕТ в ЛЁД, может треснуть верх контейнера.
海;うみ, ~かい;океан, море;海 (уми - океан) 日本海 (にほんかい - Японское море);Вода ОКЕАНА брызжет из МОРЯ каждый (毎) день календаря.
求;もと(める), きゅう;просить, желать;求める (мотомеру - искать, желать) 要求 (ようきゅう - требование);Если у вас только одна (一) капля воды, вы ХОТИТЕ больше.
永;なが(い), えい;вечность, долгий;永い (нагай - долгий [время]) 永久 (えいきゅу - вечность);Капли воды (水) испаряются за ДОЛГИЙ период, хотя кажется ВЕЧНОСТЬЮ.
湖;みずうみ, こ;озеро;湖 (мизууми - озеро) 琵琶湖 (びわこ - озеро Бива);Вода из старого (古) ОЗЕРА переливалась в лунном свете (月).
